tag;avail;rus;eng;|
Reports.Page1;f;"<b>ЭКСПЕРИМЕНТ №42-D 
Отчёт №1  Доктора Тревора Оуэнса</b>
Кому: Доктору Мартину Хендриксу, директору S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>12 октября 1984 года
</align>
 </line-height>
<line-indent=8%> После того, как шестой образец погиб, мы провели вскрытие, позволившее создать новейшие методы генной терапии для создания комбинированных клеток. Основное внимание сейчас уделяется попыткам создания гибридной ткани, способной к регенерации. 
В процессе эксперимента использовались образцы клеток <cspace=-0.09em> ███████████████</cspace> и<cspace=-0.09em> ████████</cspace>. Подопытный организм<cspace=-0.09em> ██████</cspace> продемонстрировал рост новых тканей, схожих с <cspace=-0.1em>██████ ,</cspace>  но их функциональность оказалась непредсказуемой — клетки начали проявлять аномальную активность.
Именно это и произошло с четвёртым образцом, поэтому мы превентивно ввели сыворотку-ингибитор.";"<b>EXPERIMENT №42-D 
Report №1 by Dr. Trevor Owens</b>
To: Dr. Martin Hendricks, Director of S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>October 12, 1984
</align>
 </line-height>
<line-indent=8%> After the sixth specimen died, we performed an autopsy that allowed us to develop new gene therapy techniques to create hybrid cells. The primary focus right now is on trying to create hybrid tissue capable of regeneration.
The experiment involved using <cspace=-0.09em> ███████████████</cspace> and<cspace=-0.09em> ████████</cspace>. The test subject <cspace=-0.09em> ██████</cspace> showed growth of new tissues similar to those in <cspace=-0.1em>██████ ,</cspace>  but their functionality was unpredictable, with the cells exhibiting abnormal activity. 
This is exactly what happened with the fourth specimen, so we have preemptively administered the inhibitor serum.";|
Reports.Page2;t;"<b>ЭКСПЕРИМЕНТ №42-D 
Отчёт №2 Доктора Тревора Оуэнса</b>
Кому: Доктору Мартину Хендриксу, директору S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>13 ноября 1984 года
</align>
 </line-height>
<line-indent=8%> За прошедшие несколько недель седьмой образец продемонстрировал впечатляющие темпы роста. На данный момент длина его тела уже составляет 2 дюйма.
Сейчас мы поддерживаем его развитие в герметичной камере, заполненной раствором <cspace=-0.1em> ██████.</cspace> Образец требует постоянного контроля с выполненными строго по расписанию инъекциями питательных веществ и сохранением правильной температуры в камере.
Для этого я бы хотел запросить расширение штата: нам необходимо как минимум два дополнительных сотрудника старшей категории.";"<b>EXPERIMENT №42-D 
Report №2 by Dr. Trevor Owens</b>
To: Dr. Martin Hendricks, Director of S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>November 13, 1984
</align>
 </line-height>
<line-indent=8%> Over the past few weeks, the seventh specimen has shown impressive growth rates. Its body length is currently 2 inches long.
We are currently maintaining its development in a sealed chamber filled with <cspace=-0.1em> ██████.</cspace> solution. The specimen requires constant monitoring with strictly scheduled nutrient injections and maintenance of the proper temperature in the chamber.
To facilitate this, I would like to request an expansion of the staff: we need at least two additional senior-level employees.";|
Reports.Page3;t;"<b>ЭКСПЕРИМЕНТ №42-D 
Отчёт №3 Доктора Тревора Оуэнса</b>
Кому: Доктору Мартину Хендриксу, директору S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>20 декабря 1984 года
</align>
 </line-height>
<line-indent=8%> Седьмой образец продолжает демонстрировать удивительные темпы роста: наблюдается появление конечностей. Что удивительно, появились передние конечности, что отличает его от головастиков амфибий.
На данном этапе мы начинаем добавлять <cspace=-0.1em> ██████</cspace> в организм образца, чтобы избежать губительного распада клеток, который произошёл с третьим образцом.
Доктор Хендрикс, я повторяю свою просьбу об увеличении количества сотрудников на проекте: с ростом образца нам необходимо больше рук для проведения всех тестов.";"<b>EXPERIMENT №42-D 
Report №3 by Dr. Trevor Owens</b>
To: Dr. Martin Hendricks, Director of S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>December 20, 1984
</align>
 </line-height>
<line-indent=8%> The seventh specimen continues to show remarkable growth rates: the emergence of limbs is observed. Surprisingly, forelimbs have appeared, distinguishing it from the amphibian tadpoles.
At this stage, we begin adding <cspace=-0.1em> ██████</cspace> to the specimen's body to prevent the detrimental cell decay that occurred with the third specimen.
Dr. Hendricks, I reiterate my request for an increase in the number of staff on the project: with the specimen's growth, we need more hands to conduct all the tests.";|
Reports.Page4;f;"<b>ЭКСПЕРИМЕНТ №42-D
Отчёт №4 Доктора Тревора Оуэнса</b>
Кому: Доктору Мартину Хендриксу, директору S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>22 января 1985 года
</align>
 </line-height>
<line-indent=8%> Образец достиг длины 6 дюймов, у него появились задние конечности. Заметны поведенческие изменения: образец проявляет заинтересованность в том, что происходит в лаборатории.
Мы получили ваше распоряжение об ускорении проведения теста по выводу образца из питательной среды на открытый воздух. Но я настаиваю, что это преждевременно и может привести к гибели образца.
Предоставленного вами младшего сотрудника нам недостаточно. Неужели Совет директоров не понимает, что успех нашего эксперимента зависит в том числе и от достаточного бюджета? Или у них есть приоритеты важнее?";"<b>EXPERIMENT №42-D
Report №4 by Dr. Trevor Owens</b>
To: Dr. Martin Hendricks, Director of S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>January 22, 1985
</align>
 </line-height>
<line-indent=8%> The specimen has reached a length of 6 inches and has developed hind limbs. Behavioral changes are noticeable: the specimen is showing interest in what is happening in the lab.
We have received your order to expedite the testing for transferring the specimen from the nutrient medium to open air. However, I insist that this is premature and may lead to the death of the specimen.
The junior staff member you provided is not enough for us. Does the Board of Directors not understand that the success of our experiment depends, among other things, on a sufficient budget? Or do they have higher priorities?";|
Reports.Page5;t;"<b>ЭКСПЕРИМЕНТ №42-D 
Отчёт №5 Доктора Тревора Оуэнса</b>
Кому: Доктору Мартину Хендриксу, директору S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>21 февраля 1985 года
</align>
 </line-height>
<line-indent=8%> По приказу Совета директоров мы провели тест по выводу образца на открытый воздух. Результат был таким же, как я и предупреждал: несмотря на его рост, внутренние органы ещё не готовы к тому, чтобы дышать воздухом, а поверхность кожи нуждается в том, чтобы быть окруженной раствором <cspace=-0.1em> ██████.</cspace> К счастью, нам удалось вовремя спасти образец и не потерять несколько месяцев упорной работы.
Доктор Хендрикс, я обеспокоен общим отношением Совета директоров к данному эксперименту: постоянные отказы в предоставлении дополнительного бюджета и требования по ускорению всех тестов ставят под сомнения осведомленность Совета в перспективности данного проекта.";"<b>EXPERIMENT №42-D 
Report №5 by Dr. Trevor Owens</b>
To: Dr. Martin Hendricks, Director of S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>February 21, 1985
</align>
 </line-height>
<line-indent=8%> By order of the Board of Directors, we conducted a test of exposing the specimen to open air. The result was exactly as I had predicted: despite its growth, its internal organs are not yet ready to breathe air, and the skin surface needs to be surrounded by a <cspace=-0.1em> ██████.</cspace> Fortunately, we managed to rescue the sample in time and avoid losing several months of hard work.
Dr. Hendricks, I am concerned about the Board's overall attitude toward this experiment: the constant refusals to allocate additional budget and the demands to expedite all tests call into question the Board's awareness of the project's potential.";|
Reports.Page6;f;"<b>ЭКСПЕРИМЕНТ №42-D 
Отчёт №6 Доктора Тревора Оуэнса</b>
Кому: Доктору Мартину Хендриксу, директору S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>20 марта 1985 года
</align>
 </line-height>
<line-indent=8%> Мы наблюдаем значительные изменения в структуре скелета образца, что видно на рентгеновских снимках. Главным образом то, что у него начал выпрямляться позвоночник и он всё чаще стал опираться на задние конечности, находясь в своей камере.
Доктор Хендрикс, до меня дошла информация, что причиной нехватки бюджета на нашем проекте является то, что Совет директоров отдаёт предпочтение нашему отделению в <cspace=-0.1em> ██████.</cspace> Если это правда, то я хочу напомнить, что основой нашей организации всегда была генная инженерия, а не военная продукция.";"<b>EXPERIMENT №42-D 
Report №6 by Dr. Trevor Owens</b>
To: Dr. Martin Hendricks, Director of S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>March 20, 1985
</align>
 </line-height>
<line-indent=8%> We are observing significant changes in the structure of the specimen's skeleton, as seen in the X-ray images. Mainly, its spine has started to straighten, and it increasingly relies on its hind limbs while in its chamber.
Dr. Hendricks, I have received information that the reason for the budget constraints on our project is that the Board of Directors is giving preference to our facility in <cspace=-0.1em> ██████.</cspace> If this is true, I would like to remind that the foundation of our organization has always been genetic engineering, not military products.";|
Reports.Page7;f;"<b>ЭКСПЕРИМЕНТ №42-D 
Отчёт №7 Доктора Тревора Оуэнса</b>
Кому: Доктору Мартину Хендриксу, директору S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>18 апреля 1985 года
</align>
 </line-height>
<line-indent=8%> На текущий момент у образца начинают проявляться заметные изменения в строении головы, если сравнивать с предыдущими образцами на соответствующем этапе развития. Теперь очевидно, что добавление в организм клеток <cspace=-0.1em> ██████</cspace> влияет не только на внутренние органы, но и на внешний вид.
Мы ожидаем, что в ближайшее время сможем повторить тест по подвержению образца открытому воздуху, чего так настойчиво требует Совет директоров. Кроме того, я хочу запросить дополнительное оборудование в связи с ростом образца и необходимостью проводить более сложные тесты.";"<b>EXPERIMENT №42-D 
Report №7 by Dr. Trevor Owens</b>
To: Dr. Martin Hendricks, Director of S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>April 18, 1985
</align>
 </line-height>
<line-indent=8%> At the current moment, the specimen is beginning to show noticeable changes in head structure compared to previous specimens at the corresponding stage of development. It is now evident that the addition of <cspace=-0.1em> ██████</cspace> cells to the organism affects not only the internal organs but also the external appearance.
We expect to be able to repeat the open air exposure test the Board has been so insistent on in the near future. Moreover, I would like to request additional equipment due to the specimen's growth and the need to conduct more complex tests.";|
Reports.Page8;f;"<b>ЭКСПЕРИМЕНТ №42-D 
Отчёт №8 Доктора Тревора Оуэнса</b>
Кому: Доктору Мартину Хендриксу, директору S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>20 мая 1985 года
</align>
 </line-height>
<line-indent=8%> Доктор Хендрикс, я получил крайне возмутительную информацию о том, что Совет директоров планирует уменьшить бюджет нашего проекта! И это после всех моих запросов на дополнительный бюджет? Такое пренебрежение неприемлемо! Я планирую предъявить Совету формальный протест.
Более того, мы только успешно провели тест по выведению образца на открытый воздух. Образец успешно адаптировался к тому, чтобы обходиться без раствора <cspace=-0.1em> ██████.</cspace> Мы вернули его в наполненную раствором камеру, чтобы он продолжал стабильно расти и развиваться. Однако результаты уже сейчас на лицо.";"<b>EXPERIMENT №42-D
Report №8 by Dr. Trevor Owens</b>
To: Dr. Martin Hendricks, Director of S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>May 20, 1985
</align>
 </line-height>
<line-indent=8%> Dr. Hendricks, I have received extremely outrageous information that the Board of Directors plans to reduce the budget for our project! And this after all my requests for additional budget? Such disregard is unacceptable! I plan to present a formal protest to the Board.
Moreover, we have just successfully conducted a test of exposing the specimen to open air. The specimen has successfully adapted to function without the <cspace=-0.1em> ██████.</cspace> We have returned it to the solution-filled chamber so that it can continue to grow and develop steadily. However, the results are already evident.";|
Reports.Page9;f;"<b>ЭКСПЕРИМЕНТ №42-D
Отчёт №9 Доктора Тревора Оуэнса</b>
Кому: Доктору Мартину Хендриксу, директору S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>25 июня 1985 года
</align>
 </line-height>
<line-indent=8%> Я начинаю сомневаться, что мои отчёты читает кто-либо из вышестоящего руководства! И вы продолжаете игнорировать мои звонки, Хендрикс! Как я могу успешно оперировать в интересах компании, когда меня продолжают держать в неведении?
К вашему сведению, образец значительно улучшил свои когнитивные способности. Он успешно проходит все наши тесты, узнаёт каждого из членов команды и с заметным осознанием следит за всем происходящим в лаборатории. Не удивлюсь, если его мыслительные способности в итоге превзойдут все наши ожидания.";"<b>EXPERIMENT №42-D
Report №9 by Dr. Trevor Owens</b>
To: Dr. Martin Hendricks, Director of S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>June 25, 1985
</align>
 </line-height>
<line-indent=8%> I am starting to doubt anyone from upper management reads my reports! And you continue to ignore my calls, Hendricks! How can I successfully operate in the company's best interests when I am kept in the dark?
For your information, the specimen has significantly improved its cognitive abilities. It successfully passes all our tests, recognizes each member of the team, and follows everything happening in the laboratory with noticeable awareness. I wouldn't be surprised if it's thinking abilities ultimately exceed all our expectations.";|
Reports.Page10;f;"<b>ЭКСПЕРИМЕНТ №42-D
Отчёт №10 Доктора Тревора Оуэнса</b>
Кому: Доктору Мартину Хендриксу, директору S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>31 июля 1985 года
</align>
 </line-height>
<line-indent=8%> Хендрикс, мне пришло уведомление, что с проекта забирают ещё двух сотрудников для перевода их в наше отделение в <cspace=-0.1em> ██████.</cspace> Впрочем, я перестал удивляться такому отношению со стороны Совета директоров. Вы все медленно и уверенно загубили потенциал нашего лучшего проекта.
Кстати, после последнего теста, когда мы подвергали образец разрядам различной мощности, по возвращению в камеру он упорно бился о стекло, что привело к повреждению. Стекло нужно заменить, но вы ведь не выдадите бюджет даже на это? Плевать, это уже не мои проблемы, я подаю в отставку.";"<b>EXPERIMENT №42-D
Report №10 by Dr. Trevor Owens</b>
To: Dr. Martin Hendricks, Director of S.C.A.L.P. Lab.
<line-height=50%> 
 
<align=right>July 31, 1985
</align>
 </line-height>
<line-indent=8%> Hendricks, I received a notification that two more employees are being transferred from the project to our facility in <cspace=-0.1em> ██████.</cspace> However, I have stopped being surprised by such treatment from the Board of Directors. You are all slowly and steadily ruining the potential of our best project.
By the way, after the last test, when we subjected the sample to discharges of varying power, upon returning to the chamber, it persistently slammed against the glass, causing damage. The glass needs to be replaced, but you won't even allocate a budget for that, will you? Whatever, it’s no longer my concern, I am resigning.";|
;;;;|
Audio.Observation Log:Initial Activation;f;"<b>Журнал наблюдений, доктор Хендрикс,
 12 августа 1985 года, 21:45.</b>
 
Объект H-17 проявляет признаки нейронной активности. Жизненные показатели стабилизируются в ожидаемых пределах. Первоначальные реакции на стимулы обнадеживают. Переходим ко второй фазе активационного протокола. Это может быть прорыв, которого мы так ждали.";"<b>Observation Log, Dr. Hendricks, August 12,
1985, 9:45 PM.</b>

Subject H-17 shows signs of neural activity. Vital signs are stabilizing within expected limits. Initial reactions to stimuli are promising. Moving on to phase two of the activation protocol. This could be the breakthrough we've been waiting for.";|
Audio.Technical Report:Unusual Energy Fluctuations;t;"<b>Технический журнал 302, говорит Алекс Мерфи.</b>
 
Обнаружил нерегулярные энергетические колебания в секторе 4B. Оборудование вроде бы в порядке, но показания зашкаливают. Возможно, это сбой датчика, но я проведу полную диагностику для уверенности. Записываю для протокола.";"Technical Log 302, Alex Murphy reporting. 
